,0
558,GCAT
559,QPRT
560,SEC11A
561,FOLR1
562,FOLR1
563,FOLR1
564,FOLR1
565,FOLR1
566,FOLR1
567,CES3
568,HAAO
569,FOLR2
570,FOLR3
571,NNT
572,NNT
573,PIK3R5
574,SLC16A8
575,ATP6V0A2
576,PIGN
577,PIGN
578,CHST5
579,CHST5
580,FPGS
581,AMACR
582,AMACR
583,CA14
584,PLD3
585,SLC7A11
586,BHMT2
587,PISD
588,ALOX12
589,ALOX5
590,ATP6V0D2
591,ATP6V1C2
592,SLC17A8
593,ALOX15
594,ALOX15B
595,ALPI
596,FTH1
597,ALPL
598,ABCA4
599,ALPP
600,FTL
601,FUCA1
602,FUCA2
603,ALPPL2
604,FUT1
605,FUT2
606,FUT3
607,FUT4
608,FUT5
609,FUT6
610,FUT7
611,TECRL
612,KDSR
613,LCLAT1
614,CERS6
615,G6PC
616,G6PD
617,SLC37A4
618,GAA
619,ST6GALNAC3
620,PLCXD2
621,GAD1
622,GAD1
623,GPX6
624,GAD2
625,SLC24A2
626,PGLS
627,GALC
628,GALE
629,GALE
630,SULT4A1
631,MGAT4C
632,B4GALNT1
633,GALK1
634,GALK2
635,GALK2
636,MPC2
637,GALNS
638,GALNT1
639,MTHFD1L
640,GALNT2
641,GALNT3
642,SGMS1
643,GALT
644,GALT
645,GALT
646,IL4I1
647,GAMT
648,GAMT
649,GANC
650,GAPDH
651,MOXD1
652,TKFC
653,ACOT11
654,CYP4X1
655,GLCE
656,HACL1
657,
658,DECR2
659,GART
660,GART
661,PHGDH
662,B3GAT3
663,SLC13A4
664,HIBCH
665,PLA2G2D
666,AK5
667,AK5
668,GATM
669,GALNT8
670,GBA
671,GBA
672,GBA
673,GBA
674,GBA
675,AMD1
676,GBGT1
677,GBE1
678,GAPDHS
679,GCDH
680,GCDH
681,GCH1
682,GCK
683,GCK
684,GCK
685,SLC17A5
686,GCNT1
687,GCNT2
688,GCSH
689,HS6ST3
690,MAGEA2B
691,ATP5L2
692,GFPT1
693,GGT1
694,GGT1
695,GGT1
696,
697,B4GALT1
698,GGT7
699,OPLAH
700,GGT5
701,AOC1
702,TPK1
703,ACAD8
704,PPA2
705,PPA2
706,PPA2
707,PPA2
708,B3GAT1
709,B3GAT1
710,UQCRQ
711,ST6GALNAC4
712,AMPD1
713,ATP5S
714,GK
715,GK
716,PDE7B
717,INPP5J
718,INPP5J
719,GK2
720,
721,CHIA
722,CHIA
723,GLS2
724,GLS2
725,GLA
726,AMPD2
727,AMPD2
728,AMPD2
729,GLB1
730,GNMT
731,COQ2
732,SULT1B1
733,GCLC
734,AMPD3
735,HPGDS
736,GCLM
737,GLDC
738,GLO1
739,MAT2B
740,MAT2B
741,GLS
742,GLRX
743,GLUD1
744,GLUD2
745,GLUL
746,AMT
747,GM2A
748,GMDS
749,GMPR
750,AMY1A
751,AMY1A
752,AMY1B
753,AMY1C
754,GNS
755,AMY2A
756,GOT1
757,GOT2
758,AMY2B
759,GPD1
760,GPD2
761,GPI
762,SLCO4A1
763,SLCO3A1
764,SLCO1B3
765,P4HA3
766,PGM2L1
767,B4GALNT3
768,FADS6
769,HEXDC
770,PIGW
771,SLC13A5
772,SLC26A11
773,ZADH2
774,ZADH2
775,CYP4V2
776,
777,
778,ATP11C
779,GPT
780,GPX1
781,GPX1
782,GPX2
783,GPX3
784,GPX4
785,GPX5
786,GPX7
787,SLC27A6
788,SPCS1
789,ACAD9
790,FLVCR1
791,ABO
792,SETD2
793,PHPT1
794,ANPEP
795,LGALS13
796,SLC25A4
797,SLC25A5
798,GSR
799,GSS
800,SLC25A6
801,GSTM1
802,GSTM1
803,GSTM2
804,GSTZ1
805,GSTZ1
806,GSTZ1
807,
808,GUCY1A2
809,CYP2S1
810,GUCA1A
811,UQCR10
812,UQCR10
813,GUCY1A3
814,GUCY1B3
815,GUCY2C
816,GUCY2F
817,GUK1
818,ALG5
819,NPC1L1
820,ST8SIA5
821,GUSB
822,PYCR2
823,NME7
824,NME7
825,GMPPB
826,GMPPB
827,GMPPA
828,GMPPA
829,GYG1
830,CERS2
831,DMGDH
832,PSAT1
833,PSAT1
834,GYS1
835,SLC2A8
836,GYS2
837,GUCY2D
838,SLC40A1
839,HSD17B10
840,HAGH
841,HADHA
842,HADHB
843,HADH
844,HAL
845,HAS1
846,HAS2
847,HAS3
848,HAS3
849,HDC
850,HDLBP
851,HEXA
852,HEXB
853,PLA2G2E
854,ST6GALNAC6
855,HGD
856,NT5C
857,HK1
858,HK1
859,HK1
860,HK1
861,HK1
862,HK2
863,ACAA1
864,HK3
865,HLCS
866,HMBS
867,AOC2
868,AOC2
869,HMGCL
870,HMGCR
871,HMGCS1
872,HMGCS1
873,HMGCS2
874,HMOX1
875,HMOX2
876,AOX1
877,HNMT
878,SLC29A2
879,ACACA
880,ACACA
881,ACACA
882,ACACA
883,ACACA
884,HPD
885,HPGD
886,HPRT1
887,HSD3B1
888,HSD3B2
889,HSD11B1
890,HSD11B1
891,HSD11B2
892,HSD17B1
893,HSD17B3
894,HSD17B2
895,HSD17B4
896,ACACB
897,NDST1
898,CHSY3
899,B4GALNT4
900,ENPP7
901,ACADL
902,SLC6A19
903,ACER2
904,
905,ACSM4
906,IDH1
907,IDH2
908,COX8C
909,IDH3A
910,IDH3B
911,IDH3B
912,IDH3B
913,IDH3G
914,IDH3G
915,IDI1
916,IDS
917,IDS
