,metabolites
652,HC01441
653,HC01444
654,HC01446
655,HC01459
656,HC01496
657,HC01501
658,HC01522
659,HC01577
660,HC01609
661,HC01668
662,HC01672
663,HC01700
664,HC01712
665,HC01842
666,HC02020
667,HC02021
668,HC02022
669,HC02023
670,HC02024
671,HC02025
672,HC02026
673,HC02027
674,HC02042
675,HC02048
676,HC02050
677,HC02051
678,HC02054
679,HC02056
680,HC02057
681,HC02060
682,HC02070
683,HC02076
684,HC02110
685,HC02121
686,HC02136
687,HC02160
688,HC02161
689,HC02180
690,HC02187
691,HC02191
692,HC02192
693,HC02193
694,HC02194
695,HC02195
696,HC02196
697,HC02197
698,HC02198
699,HC02199
700,HC02200
701,HC02201
702,HC02202
703,HC02203
704,HC02204
705,HC02205
706,HC02206
707,HC02207
708,HC02208
709,HC02210
710,HC02213
711,HC02214
712,HC02216
713,HC02217
714,HC02220
715,HC02228
716,HC10784
717,HC10856
718,HC10857
719,HC10858
720,HC10859
721,L2aadp
722,L2aadp6sa
723,L_dpchrm
724,Lcyst
725,Lfmkynr
726,Lhcystin
727,Lkynr
728,Lpipecol
729,M00003
730,M00004
731,M00006
732,M00008
733,M00010
734,M00011
735,M00012
736,M00017
737,M00018
738,M00019
739,M00020
740,M00021
741,M00022
742,M00023
743,M00044
744,M00046
745,M00048
746,M00049
747,M00054
748,M00056
749,M00061
750,M00063
751,M00067
752,M00069
753,M00071
754,M00085
755,M00086
756,M00100
757,M00101
758,M00115
759,M00116
760,M00117
761,M00122
762,M00123
763,M00127
764,M00129
765,M00170
766,M00172
767,M00213
768,M00234
769,M00241
770,M00245
771,M00260
772,M00261
773,M00263
774,M00265
775,M00285
776,M00315
777,M00341
778,M00342
779,M00343
780,M00406
781,M00429
782,M00503
783,M00510
784,M00579
785,M00603
786,M00605
787,M00606
788,M00615
789,M00625
790,M00658
791,M00673
792,M00699
793,M00702
794,M00704
795,M00707
796,M00712
797,M00715
798,M00742
799,M00743
800,M00746
801,M00753
802,M00770
803,M00778
804,M00780
805,M00782
806,M00783
807,M00790
808,M00792
809,M00795
810,M00797
811,M00802
812,M00804
813,M00806
814,M00839
815,M00841
816,M00843
817,M00849
818,M00852
819,M00860
820,M00862
821,M00869
822,M00871
823,M00873
824,M00875
825,M00877
826,M00879
827,M00885
828,M00887
829,M00889
830,M00897
831,M00899
832,M00907
833,M00909
834,M00911
835,M00937
836,M00938
837,M00939
838,M00940
839,M00942
840,M00954
841,M00955
842,M00956
843,M00957
844,M00958
845,M00959
846,M00960
847,M00961
848,M00962
849,M00963
850,M00964
851,M00966
852,M00967
853,M00976
854,M00977
855,M00978
856,M00979
857,M01067
858,M01068
859,M01075
860,M01076
861,M01077
862,M01079
863,M01080
864,M01081
865,M01082
866,M01083
867,M01084
868,M01111
869,M01141
870,M01165
871,M01191
872,M01197
873,M01207
874,M01235
875,M01236
876,M01237
877,M01238
878,M01389
879,M01454
880,M01455
881,M01456
882,M01457
883,M01458
884,M01460
885,M01461
886,M01462
887,M01463
888,M01464
889,M01465
890,M01466
891,M01467
892,M01468
893,M01469
894,M01470
895,M01471
896,M01472
897,M01473
898,M01474
899,M01475
900,M01476
901,M01477
902,M01479
903,M01480
904,M01481
905,M01482
906,M01483
907,M01484
908,M01485
909,M01486
910,M01487
911,M01489
912,M01490
913,M01491
914,M01492
915,M01494
916,M01495
917,M01496
918,M01497
919,M01498
920,M01501
921,M01502
922,M01506
923,M01508
924,M01509
925,M01510
926,M01573
927,M01582
928,M01724
929,M01726
930,M01727
931,M01729
932,M01770
933,M01775
934,M01776
935,M01777
936,M01807
937,M01820
938,M01869
939,M01870
940,M01871
941,M01872
942,M01881
943,M01966
944,M01989
945,M02012
946,M02013
947,M02035
948,M02051
949,M02052
950,M02053
951,M02102
952,M02103
953,M02107
954,M02108
955,M02112
956,M02155
957,M02186
958,M02195
959,M02197
960,M02446
961,M02447
962,M02449
963,M02451
964,M02457
965,M02467
966,M02490
967,M02491
968,M02560
969,M02561
970,M02611
971,M02612
972,M02613
973,M02616
974,M02637
975,M02638
976,M02683
977,M02686
978,M02694
979,M02745
980,M02758
981,M02760
982,M02761
983,M02837
984,M02909
985,M02956
986,M02973
987,M02976
988,M02977
989,M03005
990,M03006
991,M03008
992,M03011
993,M03014
994,M03016
995,M03017
996,M03018
997,M03019
998,M03022
999,M03024
1000,M03045
1001,M03047
1002,M03050
1003,M03051
1004,M03116
1005,M03117
