,dwgenes
838,AC025188.1
839,LINC00475
840,AL138785.1
841,SLC26A6
842,AL139184.1
843,AL356289.1
844,AL583785.1
845,FTH1P20
846,ENTPD1-AS1
847,AC104170.1
848,RBMY2JP
849,AC105760.2
850,AL445472.1
851,AL359915.1
852,CALR4P
853,AL031282.1
854,AL590652.1
855,CASP16P
856,GEMIN8P4
857,PCAT6
858,CELSR3-AS1
859,LINC02474
860,C2orf92
861,AC079779.2
862,PROB1
863,AL450306.1
864,THRB-AS1
865,LINC01344
866,RPL41
867,LINC01715
868,PATL2
869,
870,STEAP3-AS1
871,AL157373.2
872,AC104695.2
873,AL160290.2
874,AP000688.1
875,AL118508.1
876,ERLNC1
877,PABPC1P3
878,AC018638.2
879,MTCO1P53
880,AC079250.1
881,LINC00271
882,AC002451.1
883,AF127577.2
884,HLA-DPA1
885,
886,RPS18
887,AC004895.1
888,KRT17P3
889,AL731567.1
890,AC007364.1
891,IMPDH1P10
892,FTH1P7
893,AL683842.1
894,AL050404.1
895,AC027644.1
896,KANTR
897,AC079465.1
898,SMG7-AS1
899,SNHG7
900,AC093797.1
901,AL512656.1
902,AC016876.1
903,AL590440.1
904,HNRNPLP1
905,LINC01122
906,AL591368.1
907,AL596275.1
908,AL035446.1
909,JRK
910,SLC25A25-AS1
911,AC114730.3
912,LINC01278
913,TTC28-AS1
914,ZBTB22
915,AC008080.4
916,RPL31P63
917,LINC01186
918,AL356270.1
919,ZEB1-AS1
920,AC068446.1
921,ZNF295-AS1
922,AC096531.2
923,NONOP2
924,TRIM51EP
925,AMY1A
926,FAM21FP
927,AL139142.1
928,AC112487.1
929,PRKAG2-AS1
930,C21orf91-OT1
931,AC104619.1
932,AC018450.1
933,TFP1
934,DECR2
935,AC092892.1
936,AL591242.1
937,AC079760.2
938,RPL5P30
939,
940,AC024940.3
941,HLA-L
942,TIPARP-AS1
943,RN7SL396P
944,AC020658.1
945,LINC00847
946,MALINC1
947,AC008393.1
948,AC025164.1
949,LINC01550
950,AC090061.1
951,AC068446.2
952,SEC24B-AS1
953,FOXD1-AS1
954,AC098487.1
955,AC022126.1
956,AC126768.2
957,AC068533.4
958,LINC02405
959,IL20RB-AS1
960,AL731577.2
961,AC008629.1
962,SRD5A3-AS1
963,AC093890.1
964,AC121154.1
965,RNF103-CHMP3
966,GOLGA8K
967,AC104827.1
968,KRT8P32
969,RDH10-AS1
970,TRMT9B
971,KLHL2P1
972,AC034213.1
973,AC109454.3
974,AC111194.2
975,LINC01336
976,GMDS-AS1
977,AL158068.2
978,LINC02384
979,RTN3P1
980,AC107884.1
981,AC108062.1
982,AL162431.3
983,MALAT1
984,LINC02482
985,WASHC5-AS1
986,AC090193.1
987,AZIN1-AS1
988,RAD21-AS1
989,LINC00534
990,AC022217.3
991,LINC01170
992,AC091982.1
993,AC027117.2
994,AP002336.2
995,AP001000.1
996,AP003068.2
997,TMED10P1
998,AP005018.1
999,PKD1P5
1000,AC067930.4
1001,INMT-MINDY4
1002,AF235103.1
1003,PGAM1P8
