,upgenes
582,NALT1
583,LINC00649
584,BX470102.1
585,AL034417.2
586,AC063952.1
587,RPL21P4
588,AC114490.1
589,AC018475.1
590,C8orf58
591,AC073842.2
592,AC113398.1
593,VSIG8
594,C4orf48
595,AC024940.3
596,TIPARP-AS1
597,RPL23AP65
598,AC133134.1
599,RPL21P120
600,CCDC13
601,AC096564.1
602,DDX11-AS1
603,MIR4300HG
604,AP003352.1
605,AC006299.1
606,CASC8
607,GAPDHP61
608,MTATP6P1
609,OTX2-AS1
610,AC126768.2
611,AC109492.1
612,EEF1A1P9
613,UGDH-AS1
614,IL20RB-AS1
615,NAIP
616,AC106772.1
617,SRD5A3-AS1
618,RNF103-CHMP3
619,AC010457.1
620,AC145285.2
621,MALAT1
622,AC136475.1
623,LINC02159
624,AC100818.1
625,AC022915.2
626,PRSS51
627,AP000424.1
628,AC013643.2
629,AC022733.2
630,AP5B1
631,AP001816.1
632,BBOX1-AS1
633,AP001831.1
634,AC107973.1
635,TMEM9B-AS1
636,ATP5PBP5
637,
638,STX17-AS1
639,AC079917.1
640,AC108471.2
641,MT1JP
642,AC026333.3
643,ZNF350
644,AC022509.3
645,CLIP1-AS1
646,AC073896.2
647,AC138123.1
648,AC025165.2
649,AC055736.1
650,LINC02298
651,LINC00239
652,SLC25A21-AS1
653,AL121594.1
654,AL160236.2
655,AC025580.2
656,UBE2Q2L
657,CERNA1
658,AC243562.2
659,ELOCP2
660,AC092131.1
661,AL138756.1
662,AC007218.1
663,AP002761.4
664,AL031709.1
665,AC009093.2
666,AC009113.2
667,AC106886.2
668,AL031985.3
669,AC016722.3
670,
671,AC128688.2
672,AL845331.3
673,
674,AC074050.3
675,LOXL1-AS1
676,SNORD3B-2
677,AC003688.1
678,AC113189.1
679,SPON1
680,AC026954.3
681,AC015853.3
682,TAPT1-AS1
683,AC068594.1
684,RN7SL4P
685,SNORD3A
686,MIR3648-2
687,RN7SL525P
688,SNORD3B-1
689,AC135178.3
690,AC015878.1
691,AC010754.1
692,AC004585.1
693,MRPS21
694,AP001381.1
695,AC011472.2
696,AC092295.2
697,EMG1
698,FO681491.1
699,AC020915.3
700,AC018695.2
701,
702,AC104819.3
703,LINC01235
704,MTND4P35
705,AC004130.1
706,ATP2B1-AS1
707,KRT8P47
708,GTF2H5
709,AL451165.2
710,AC005162.3
711,AL355987.3
712,AL035563.1
713,AC010655.4
714,AC006946.2
715,AC017083.3
716,AL139260.2
717,RF00003
718,BX640514.2
719,AC239804.2
720,
721,
722,
723,
724,PIGW
725,
726,AC116050.2
727,GLIDR
728,
729,FP671120.1
730,AC008985.1
731,AC080080.1
732,FP236315.2
733,
734,CU634019.3
735,AC004623.1
736,
737,FP671120.2
738,AC132219.2
739,FP236383.2
740,
741,LINC01127
742,AL355390.2
743,SAMD12-AS1
