gene,P_rep1,P_rep2,P_rep3,7dCI_rep1,7dCI_rep2,7dCI_rep3,,,,,
KIF18B,1857.050643,1202.668592,1816.317775,296.895741,397.8091272,161.8397202,,,,,
FAM83G,2575.471695,1869.711602,2153.437363,301.8031087,373.0565593,355.0707654,,,,,
LOC100507127,79.63629583,58.73960838,63.06658943,0,7.072162262,2.092755002,,,,,
ANLN,27530.43691,20988.95634,22355.95929,3956.156197,7424.002335,2156.932822,,,,,
TXLNB,15.24950346,5.973519496,4.013328418,267.4515353,139.6752047,159.0493802,,,,,
PRC1,15967.92451,13756.01981,20503.52156,2889.621634,4991.178516,2102.521192,,,,,
ERCC6L,1580.865192,1265.390547,1185.078549,178.3010235,387.2008839,145.7952652,,,,,
SKA1,1960.408389,1441.609372,2105.277422,296.0778464,410.1854112,255.3161103,,,,,
ANKRD33B,272.7966729,281.7510029,579.6392901,2096.263868,3293.859574,3167.035904,,,,,
GTSE1,3903.872885,2836.426174,4653.167634,683.7598884,1154.530489,421.3413405,,,,,
C5orf41,345.6554117,486.8418389,276.3463282,2187.868064,2894.282406,2065.549187,,,,,
PSMC3IP,703.1715483,681.9768091,809.5456752,110.4157715,164.4277726,93.47639011,,,,,
ASF1B,2095.959531,1713.404509,2447.557002,372.1420445,562.2368998,245.5499203,,,,,
RXFP1,0,2.986759748,1.719997893,81.78946034,109.6185151,50.92370506,,,,,
PAQR4,986.1345569,724.7870322,820.4389952,130.8631365,167.9638537,106.7305051,,,,,
UBE2C,3649.714494,2656.225003,4161.821569,609.3314795,908.7728507,475.0553855,,,,,
MAPT,28.80461764,14.93379874,17.77331157,210.1989131,123.7628396,190.4407052,,,,,
NEK2,2236.59384,1881.658641,2398.250396,359.0557309,659.4791309,252.5257703,,,,,
POLE2,696.3939912,672.0209433,550.3993259,79.33577653,190.9483811,64.87540507,,,,,
ABCA6,5.083167819,12.94262557,22.93330525,940.5787939,583.4533866,440.8737205,,,,,
PBK,3388.778546,4443.302918,4008.741757,583.9767468,1453.329345,454.8254205,,,,,
CDT1,1479.201835,1144.92457,1526.784797,261.7262731,307.6390584,168.1179852,,,,,
C6orf97,30.49900691,15.92938532,20.63997472,211.0168077,171.4999349,193.2310452,,,,,
LRRC32,223.659384,276.77307,463.252766,1966.218627,2326.741384,2434.571653,,,,,
POLQ,2163.735102,2308.765285,1744.077864,309.9820547,816.8347413,168.8155702,,,,,
AURKB,1934.99255,1761.192665,2756.583291,389.3178312,565.772981,316.7035904,,,,,
MXRA5,14544.63752,3946.505214,11775.67891,50895.12749,50969.07342,67260.44819,,,,,
CEP55,7279.096317,6171.641226,6181.672429,1191.672437,2185.298139,615.2699707,,,,,
FMO1,0,0,0,94.87577399,81.32986601,34.18166504,,,,,
SLC35F2,699.7827697,613.2813349,458.0927723,103.05472,107.8504745,59.99231007,,,,,
PTTG1,4937.450341,4319.850182,5308.486832,991.2882593,1435.648939,532.9549406,,,,,
BUB1,6291.26737,5221.851626,7412.044255,1077.985087,2404.535169,726.1859858,,,,,
SPHK1,3834.402925,4275.048786,4454.221211,790.0861869,530.4121697,807.8034309,,,,,
TPX2,18578.97838,11928.12285,19805.77574,3238.862629,4863.879596,2050.202317,,,,,
LUM,4144.476162,9658.185438,10048.22769,46386.89243,51867.23803,53963.78049,,,,,
SPC25,1084.409135,1122.026079,1400.651618,188.9336534,332.3916263,185.5576102,,,,,
WDR76,2819.46375,2331.663777,2029.597514,381.9567798,632.9585225,316.0060054,,,,,
SEC14L5,1.694389273,4.977932913,1.719997893,69.52104129,49.50513583,70.45608508,,,,,
DBP,37.276564,19.91173165,50.45327154,338.6083658,199.7885839,291.5905303,,,,,
C15orf23,3282.032022,2730.893996,3578.742284,588.8841144,845.1233903,472.9626305,,,,,
CDCA7,754.0032265,1032.423286,987.8521235,161.9431315,249.2937197,125.5653001,,,,,
PPAPDC1A,808.2236832,523.6785425,864.5856078,98.96524701,65.41750092,166.0252302,,,,,
SKA3,3797.126361,2615.405953,2308.810506,431.030456,707.2162262,231.5982203,,,,,
KIF23,9417.415579,8693.46204,9784.494683,1531.916592,2733.390714,1454.464727,,,,,
RNASEH2A,1645.251984,1883.649814,2700.970025,362.3273093,521.5719668,357.1635204,,,,,
EME1,455.7907144,463.9433475,547.5326627,72.7926197,146.7473669,58.59714007,,,,,
LRIG3,604.8969704,567.4843521,825.0256562,3446.607859,3117.055517,4837.75198,,,,,
NAALADL2,108.4409135,115.4880436,100.3332105,520.9988624,700.144064,775.0169359,,,,,
MT2A,15418.94238,13134.77379,20884.78775,2327.728041,4538.560132,3490.017759,,,,,
FANCD2,2229.816283,2021.040763,2440.677011,398.3146719,733.7368347,291.5905303,,,,,
PBXIP1,853.9721936,793.4825064,1125.451955,5820.955892,3757.086202,5787.165167,,,,,
CDKN3,1543.588628,2141.506739,2163.75735,377.8673068,753.1852809,211.3682552,,,,,
DDX39A,5093.334154,4955.034422,7350.124331,1190.036648,1394.984006,1015.683761,,,,,
PLD1,103.3577456,111.5056973,139.893162,1962.129154,1101.489272,1225.656846,,,,,
DTX4,127.0791955,126.439496,80.26656836,467.8357131,698.3760234,750.6014609,,,,,
EFNB3,74.55312801,62.72195471,64.21325469,408.1294071,351.8400725,602.0158557,,,,,
MCM2,4705.319011,4354.695713,5935.71273,898.8661691,1511.674684,821.7551309,,,,,
NUF2,1726.582669,1928.451211,1636.864662,299.3494248,650.6389281,201.6020652,,,,,
CTPS,6125.217222,5526.50112,5264.913552,825.2556548,998.9429195,1221.471336,,,,,
EPHA2,2717.800394,2411.310703,2480.810295,603.6062173,571.0771027,301.3567203,,,,,
TRIL,23.72144982,2.986759748,17.19997893,403.2220395,185.6442594,283.2195103,,,,,
MLF1IP,1584.25397,1934.42473,1724.584554,275.6304813,583.4533866,260.8967903,,,,,
APOL6,1397.87115,653.1047982,993.5854498,4795.31606,5581.704065,5516.502186,,,,,
DIAPH3,4634.154661,4511.998393,4997.167213,658.4051557,1877.659081,732.4642508,,,,,
JAG1,98.27457783,99.55865827,290.679644,1119.697712,945.9017026,1231.935111,,,,,
PLK4,2368.756204,2004.115791,1474.038195,347.6052064,624.1183196,205.7875752,,,,,
RAD54L,903.1094825,859.1912208,1087.038669,178.3010235,279.3504094,130.4483951,,,,,
TLCD2,294.8237335,211.0643555,294.6929724,1515.5587,1135.082043,1667.925737,,,,,
LOC284276,5.083167819,4.977932913,5.15999368,106.3262984,56.5772981,67.66574508,,,,,
BIRC5,5784.644978,5657.918549,8753.642612,1023.186149,2376.24652,839.194756,,,,,
KIAA1524,3229.505954,3281.453376,2714.730008,502.1872865,975.9583922,449.2447405,,,,,
ADAMTS9,106.7465242,80.6425132,58.47992838,533.2672814,362.4483159,442.9664755,,,,,
LAMA5,38.97095328,110.5101107,144.479823,1199.851383,2045.622934,1229.144771,,,,,
APOL4,1.694389273,1.991173165,10.89331999,300.985214,121.994799,274.1509053,,,,,
DNAJC9,4313.915089,3046.494943,4679.540935,682.1240992,758.4894026,882.445026,,,,,
FAM54A,477.817775,468.9212804,521.1593617,67.06735748,125.5308802,80.22227509,,,,,
POLA2,3058.372638,2513.856121,3104.022865,518.5451786,793.8502139,489.0070856,,,,,
MELK,5223.802128,4360.669232,4666.354285,848.9745983,1585.932387,672.4719408,,,,,
RAD54B,1052.215738,987.62189,643.2792121,151.3105016,261.6700037,100.4522401,,,,,
BLM,711.6434946,722.795859,607.732589,95.6936686,203.324665,99.05707011,,,,,
CHDH,83.02507437,79.64692661,163.9731325,947.1219507,541.0204131,889.420876,,,,,
TROAP,1846.884308,1380.87859,2050.810822,440.8451912,581.6853461,161.8397202,,,,,
CENPI,1155.573484,1431.653506,1500.984828,248.6399594,541.0204131,170.2107402,,,,,
CKAP2L,3749.683461,2971.825949,2649.370089,578.2514846,1106.793394,352.2804254,,,,,
SLC25A27,13.55511418,32.85435723,23.50663788,218.3778591,198.0205433,352.2804254,,,,,
C1orf135,328.711519,209.0731824,297.5596356,43.34841398,38.89689244,41.85510005,,,,,
FGD4,106.7465242,193.143797,228.1863872,1128.694553,1207.571706,1003.824816,,,,,
NCAPG2,6528.481869,6415.559939,7451.604207,1191.672437,2264.859964,1174.733141,,,,,
MFSD2A,240.6032768,208.0775958,193.7864293,34.35157334,33.59277075,23.02030503,,,,,
UBE2T,1306.374129,1816.945513,2321.423824,278.9020598,541.0204131,268.5702253,,,,,
RRS1,2534.806352,2051.903947,1683.304605,373.7778338,371.2885188,382.2765804,,,,,
ATOH8,3026.179241,3687.652702,5223.06027,419.5799315,558.7008187,911.743596,,,,,
SLC5A10,454.0963251,523.6785425,481.5994102,69.52104129,93.70614997,94.17397511,,,,,
GINS3,903.1094825,746.689937,802.6656836,125.1378743,219.2370301,142.3073402,,,,,
PLEKHA6,105.0521349,57.74402179,47.58660839,393.4073042,721.3605507,519.0032406,,,,,
STIL,2717.800394,2390.403385,2855.769836,470.289397,931.757378,424.1316805,,,,,
ORAI3,355.8217473,345.4685442,364.6395534,2265.568051,1870.586918,1550.731457,,,,,
LZTS1,716.7266625,555.5373131,802.6656836,113.6873499,180.3401377,125.5653001,,,,,
SPAG5,6741.974917,5922.74458,10168.05421,1212.119802,2056.231178,795.9444859,,,,,
MCM3,8734.576702,6665.452171,8069.656783,1248.107165,2317.901181,1551.429042,,,,,
ASAP3,398.1814791,258.8525115,442.0394586,2382.52698,1603.612793,2918.695643,,,,,
CDCA2,2346.729143,2368.50048,2916.543095,413.0367747,1073.200623,408.7848105,,,,,
DEPDC1B,537.1213995,660.0739043,796.9323573,112.8694553,270.5102065,90.6860501,,,,,
SGOL1,1079.325967,750.6722833,901.8522288,170.9399721,312.9431801,110.9160151,,,,,
RASSF4,62.6924031,54.75726205,74.53324205,434.3020344,312.9431801,403.2041305,,,,,
CTSO,455.7907144,458.9654146,296.4129703,1778.920762,1730.911714,2136.702857,,,,,
RANGAP1,14039.70952,12338.30452,17050.33912,2873.263742,3739.405796,3005.893768,,,,,
SUV39H1,1401.259929,957.7542925,1353.06501,223.2852267,298.7988556,235.0861453,,,,,
TUBB4B,37710.32766,27883.39342,42538.41457,7230.188294,10565.81042,6853.075048,,,,,
LAMA3,388.0151435,235.9540201,362.3462229,1702.03867,1746.824079,1692.341212,,,,,
RELT,332.1002975,428.1022305,513.1327049,74.42840891,95.47419054,77.43193509,,,,,
CHAF1A,3549.745527,2379.451933,2780.663261,538.174649,744.3450781,520.3984106,,,,,
LMNB1,6182.826457,4153.587223,5533.806556,1084.528244,2029.710569,688.5163958,,,,,
CHAF1B,2099.348309,1371.918311,1434.478243,278.0841652,376.5926405,302.7518903,,,,,
GSG2,754.0032265,522.6829559,626.0792332,122.6841905,157.3556103,92.0812201,,,,,
MCM8,2148.485598,1816.945513,1503.851491,286.2631112,592.2935895,295.7760403,,,,,
RFC2,2338.257197,1810.971994,2428.063693,372.9599391,456.1544659,509.2370506,,,,,
BUB1B,4012.313798,3240.634327,4691.007588,808.8977628,1580.628266,588.7617407,,,,,
