,upgenes
1597,LINC02256
1598,AL592146.1
1599,AC092123.1
1600,ADAMTS7P3
1601,ZNF865
1602,AC026470.2
1603,AC026471.4
1604,AC233699.1
1605,AL845331.3
1606,AC083837.1
1607,DISC1FP1
1608,AC124283.1
1609,AC005670.2
1610,AC136624.2
1611,AC110285.2
1612,AC007114.1
1613,ROCK1P1
1614,AC124319.2
1615,AC087500.2
1616,AC024361.3
1617,IKBKE
1618,AC025682.1
1619,LINC00672
1620,AC124254.1
1621,AC015908.3
1622,OTUD7B
1623,ALOX12P1
1624,TSPOAP1-AS1
1625,ANXA8
1626,AC124066.1
1627,AP005329.2
1628,AC010761.4
1629,TXNIP
