,dwgenes
690,ZNF324B
691,EPHA5-AS1
692,AL035458.2
693,SHANK3
694,AC106760.2
695,RAD21-AS1
696,AC146944.3
697,AC021733.1
698,NACA2
699,LINC01484
700,RBPMS-AS1
701,MIR2052HG
702,AC055876.2
703,AP001972.1
704,PABPC4L
705,AC110275.1
706,AC138866.2
707,AC124276.1
708,
709,TOLLIP-AS1
710,SNHG9
711,AC109322.1
712,AC079917.1
713,EID1
714,AP002748.3
715,AL590627.1
716,PXN-AS1
717,AC080075.1
718,AC141557.1
719,ZNF253
720,AC011611.3
721,LINC02354
722,G2E3-AS1
723,AL139011.2
724,AL157871.4
725,AL049872.1
726,AL139022.1
727,BUB1B-PAK6
728,AC103739.2
729,AC048382.4
730,EEF1A1P22
731,AC025259.3
732,AC109449.1
733,AC027601.1
734,AC093249.2
735,AC068338.2
736,HEXA-AS1
737,AL035071.2
738,SNAI3-AS1
739,WFDC21P
740,AL592146.1
741,AC096921.2
742,AC008731.1
743,AC006058.1
744,LOXL1-AS1
745,AC090618.1
746,SNORD3B-2
747,AJ003147.2
748,RYKP1
749,
750,
751,AC068025.1
752,AC118755.2
753,AC093484.3
754,AC009084.1
755,AP002449.1
756,AC061992.1
757,AC087289.1
758,AC012617.1
759,AC018761.2
760,AD000091.1
761,AC011477.4
762,AC008750.4
763,AC010320.2
764,AC005387.1
765,AC008760.1
766,AL627309.7
767,AC018809.2
768,
769,AC027020.2
770,AC135506.1
771,URGCP-MRPS24
772,RF00003
773,LINC02427
774,AL118558.3
775,AC091826.2
776,AC021321.1
777,IER3-AS1
778,AC093297.2
779,AL031775.1
780,AL353588.1
781,AC007378.1
782,AL049839.2
783,AC005229.4
784,AC012510.1
785,AP000229.1
786,AC093838.1
787,EPOP
788,
789,SPDYE10P
790,AC243732.1
791,AC239859.5
792,AC245389.2
793,AC103746.1
794,AC008622.2
795,ELMO2P1
796,RF01518
797,TADA2A
798,
799,LINC00235
800,F8A3
801,PCGF2
802,AL138966.2
803,AC010654.1
804,
805,
806,
807,AC023491.1
808,RF00003
809,C17orf78
810,AC007325.3
811,BX004987.1
812,AC020765.4
813,AP003068.4
814,HEIH
815,FP671120.1
816,AC006449.7
817,AC126474.1
818,
819,AL451064.2
820,AC011558.1
821,AC007342.9
822,RN7SKP23
823,TMEM75
824,
825,AP000648.3
826,FP236383.1
827,
828,
829,
830,AL358790.1
831,AC010642.2
