,upgenes
888,TTTY15
889,MICALL1
890,SFXN1
891,TFDP1
892,BIRC2
893,CHST3
894,EPT1
895,RPA1
896,EPG5
897,LOC100268168
898,PWP2
899,FAM196A
900,RCC1
901,MRPS7
902,FBXO45
903,LRP8
904,NRAS
905,TSR1
906,LOC100130417
907,PHLDA2
908,CIRH1A
909,NKX3-1
910,DHX37
911,C1orf96
912,QTRTD1
913,TIMM8A
914,PITRM1
915,SNORD44
916,FN3KRP
917,FAM122B
918,CREB3L2
919,LOC100506054
920,QSOX2
921,ARHGDIA
922,LCMT2
923,C16orf80
924,TTL
925,SMS
926,MB21D1
927,NOTUM
928,SKA2
929,UCHL5
930,MRPL17
931,TPM1
932,PSME3
933,FLNC
934,ENOPH1
935,POLD3
936,C20orf72
937,ETS1
938,AIMP2
939,DLAT
940,DNAJB11
941,POLR1E
942,ELAVL1
943,ID4
944,SRSF1
945,UNG
946,ABCF2
947,SH3RF2
948,KIF7
949,C1orf201
950,GADD45A
951,ALG8
952,SNORD76
953,TAGLN2
954,GOT2
955,VEGFC
956,TMEM184A
957,ADRM1
958,GPD2
959,C7orf50
960,SEC23B
961,UCK2
962,RRP15
963,KIAA0664
964,PCMT1
965,VCP
966,LINC00311
967,NAP1L4
968,PITPNM3
969,PDCD11
970,PUF60
971,CCNH
972,GLRX3
973,LSM3
974,PTBP1
975,UTP15
976,KLF16
977,SCFD2
978,RPP40
979,TSC22D2
980,SAAL1
981,CBX1
982,KLC2
983,USP13
984,CHSY3
985,ERRFI1
986,ACD
987,NCS1
988,PAFAH1B3
989,LDHA
990,LOC100506994
991,PNPT1
992,MSN
993,UBR7
994,NOC4L
995,PLCB4
996,DGKI
997,APEX2
998,LOC149773
999,HSPA14
1000,SSSCA1
1001,CWF19L1
1002,SLC35B1
1003,MCMBP
1004,NIF3L1
1005,ERI1
1006,DIMT1
1007,HMOX2
1008,ICMT
1009,ILF3
1010,PDCD5
1011,FICD
1012,PIM2
1013,KCTD5
1014,SLC45A3
1015,ZW10
1016,CNTROB
1017,SMARCA4
1018,CAP1
1019,LTV1
1020,NLN
1021,HNRNPM
1022,ZNF672
1023,NUP50
1024,FAM57A
1025,MRPL47
1026,FAM86DP
1027,SPRYD3
1028,PSMD1
1029,EFTUD2
1030,SRSF3
1031,ACTR3
1032,RAD23A
1033,SNHG10
1034,MRM1
1035,GABPB1
1036,PLEKHB2
1037,C1orf159
1038,CXorf57
1039,OXSR1
1040,MAGOHB
1041,C11orf83
1042,SCML2
1043,GRAMD1B
1044,WDR12
1045,CSRNP1
1046,HEATR3
1047,MRPL20
1048,NOP10
1049,KLF6
1050,ZNF215
1051,ZYG11A
1052,GNPNAT1
1053,ELAC2
1054,EIF4G1
1055,TMEM70
1056,COPS3
1057,LYPD6B
1058,REXO1
1059,SCRIB
1060,CTU2
1061,DGCR11
1062,NCL
1063,SGTA
1064,FTSJ1
1065,SNRNP40
1066,SLC27A4
1067,CCT4
1068,CHCHD8
1069,RNFT2
1070,PPM1G
1071,FTSJ2
1072,SERPINB8
1073,NACC1
1074,MIS12
1075,CCT3
1076,U2AF2
1077,ACTN1
1078,LSM11
1079,MTFR1
1080,ANKRD39
1081,PDAP1
1082,NUP153
1083,MPDU1
1084,GPR85
1085,SLBP
1086,SLC37A2
1087,USP5
1088,NDOR1
1089,TUBA1A
1090,GOT1
1091,PPRC1
1092,RNF26
1093,ACTN4
1094,XPO1
1095,HSP90AA1
1096,H2AFV
1097,SLC43A3
1098,NOL12
1099,LOC541471
1100,MTMR6
1101,PSMC4
1102,SRFBP1
1103,KPNB1
1104,C2CD3
1105,LOC100289092
1106,RQCD1
1107,TUBB1
1108,BRP44
1109,PAPSS2
1110,NOC3L
1111,SEH1L
1112,EXOSC3
1113,TMEM104
1114,BICD2
1115,ADAT1
1116,C9orf30
1117,ACTG1
1118,DDX54
1119,CS
1120,PITHD1
1121,PIEZO1
1122,MRPS12
1123,MSTO2P
1124,MRPL27
1125,NUP43
1126,C10orf2
1127,PRDX1
1128,USP14
1129,GRPR
1130,TSSC1
1131,TYRO3
1132,TRIM28
1133,LAT2
1134,SNORD30
1135,SAMD1
1136,PSMC5
1137,FAXC
1138,MAGOH
1139,ATP1B1
1140,ATP1B3
1141,DDX10
1142,PIN1
1143,MICALCL
1144,HNRNPH1
1145,TIMM22
1146,NIPA2
1147,KIF5B
1148,FAM98A
1149,BTBD6
1150,B4GALT4
1151,C2orf48
1152,RBM28
1153,MRPL18
1154,ZNF238
1155,ZMYND19
1156,KLB
1157,PSMG3
1158,ARPC5
1159,SCLT1
1160,GALNT10
1161,MBOAT1
1162,EMP1
1163,KIAA0020
1164,GATAD2A
1165,JMJD6
1166,NOL11
1167,YWHAG
1168,SLC39A3
1169,CKAP5
1170,UCHL3
1171,PDE12
1172,CCDC58
1173,INO80E
1174,LETM1
1175,PES1
1176,AGMAT
1177,RABGGTB
1178,ZNF726
1179,WBP11
1180,RAVER1
1181,DPP9
1182,FXR2
1183,C1orf212
1184,WDFY2
1185,PPP1R12A
1186,APLN
1187,C10orf12
1188,GNB3
1189,APOO
1190,POLR3F
1191,KSR2
1192,AHSA1
1193,SNORA62
1194,SLIRP
1195,RPS6KA4
1196,XPO5
1197,GNL2
1198,XRCC6
1199,HIGD1A
1200,CBX2
1201,HAUS3
1202,CENPB
1203,DUS2L
1204,SRPRB
1205,C20orf7
1206,C11orf48
1207,DCAF13
1208,CASP2
1209,COX4NB
1210,MPP6
1211,PFDN2
1212,FSD1
1213,EHD4
1214,EIF3B
1215,DEM1
1216,UFD1L
1217,ERH
1218,TMSB10
1219,PIGA
1220,NANS
1221,CAD
1222,DUSP14
1223,HARS
1224,CDKN2C
1225,NUTF2
1226,SRRT
1227,EARS2
1228,TCHP
1229,PSMD6
1230,ERF
1231,RPP30
1232,ONECUT2
1233,LIMK2
1234,VKORC1L1
1235,DNAJB5
1236,DNAJA3
1237,ERAL1
1238,SLX4
1239,RNASEH1
1240,DTD1
1241,SLAMF9
1242,LIN7B
1243,ASB6
1244,ITGB1BP1
1245,CRY1
1246,ST3GAL4
1247,PLCB2
1248,TCERG1
1249,PFKFB3
1250,RMI1
1251,PTGES3
1252,TFB1M
1253,MEF2BNB
1254,PTPLB
1255,ANAPC7
1256,SYNCRIP
1257,SLC2A6
1258,MRPS11
1259,VDAC1
1260,DCUN1D5
1261,LARS2
1262,AARS2
1263,ZNF207
1264,SNORD26
1265,GCLM
1266,ARPC2
1267,GNAS-AS1
1268,CHUK
1269,KHDRBS3
1270,SNORD60
1271,TNFRSF10D
1272,C17orf79
1273,PVRL1
1274,BAG3
