,dwgenes
550,FRMD5
551,TLN2
552,SCG2
553,ANKRD20A4
554,MTBP
555,CFAP53
556,CARNS1
557,CHCHD1
558,DCAKD
559,CKS1B
560,VEGFB
561,SCAI
562,SLC19A1
563,TAS1R1
564,CBX2
565,PHLDA3
566,EXO1
567,MYO1H
568,IQCK
569,C19orf70
570,CA5A
571,ZNF654
572,PACS1
573,HIGD2B
574,CCNE2
575,BANF1
576,CHRNA7
577,PCSK1
578,RFESD
579,RPS6KB2
580,BAIAP2
581,CHMP6
582,SPHK1
583,RNPEP
584,KRT18P28
585,SHMT1
586,MTHFR
587,FAM210A
588,GATD1
589,TOP3A
590,CCDC71
591,IRX3
592,C18orf32
593,PIDD1
594,CHID1
595,ZNF620
596,ARL6IP6
597,DMAP1
598,LCORL
599,KCNG2
600,BEND3
601,KLHL11
602,EXOSC4
603,RMI1
604,AURKB
605,TMEM107
606,FARSA
607,PCBP1-AS1
608,MYADM
609,DCTPP1
610,ZNF771
611,PSTK
612,TIGD2
613,PAK2
614,PIPSL
615,BBS12
616,OGFOD3
617,WASHC1
618,SGSH
619,PRKAG1
620,IDH2
621,NOP10
622,MOB2
623,SYNM
624,CEP97
625,SKA2
626,GJC1
627,CEP57L1
628,GDPGP1
629,OR7E38P
630,PSMG1
631,ZNF438
632,TBL3
633,ZNF703
634,AL021453.1
635,HIST1H1B
636,KNTC1
637,TXNRD2
638,CDCA2
639,AMER1
640,PRR16
641,JAG2
642,NUTM2A
643,NDUFA6
644,BRF1
645,FLRT2
646,INPP5J
647,METTL7A
648,GPRIN3
649,SDHAP1
650,SHC4
651,KIF18B
652,BLOC1S4
653,KLHL32
654,MST1P2
655,TMEM222
656,FOXD2
657,CFAP73
658,ZNF732
659,LYPD6
660,SHTN1
661,ZNF546
662,SESTD1
663,EPOR
664,LUZP2
665,DHRS4L2
666,LIN28B
667,PRKAR1B
668,PLSCR1
669,H2AFX
670,RBM34
671,TBC1D3P2
672,FAM78B
673,FAM111B
674,FAM47E
675,MAOA
676,C15orf61
677,TOGARAM2
678,SPATS2L
679,ZNF766
680,ZNF729
681,EVL
682,PPP1R26
683,C20orf96
684,SULT1A1
685,FAM72A
686,HDAC2
687,SDHAF3
688,ZNF33B
689,MVB12B
690,AC008758.1
691,PPTC7
692,CBWD3
693,CXorf40B
694,MAFG
695,AP000550.1
696,SYNGAP1
697,TRIM33
698,PHF2
699,ZNF81
700,MEIG1
701,IFNA1
702,C2orf27A
703,ZNF84
704,NPIPB13
705,ZNF544
706,HMGN5
707,AC131392.1
708,UVRAG
709,WDHD1
710,ZNF789
711,TLK1
712,TUSC1
713,MTCO3P12
714,MT-ND2
715,FAM169A
716,GK
717,CD247
718,CHAMP1
719,ARHGAP11A
720,HMGN2
721,GJC2
722,DENND4B
723,FICD
724,GRK5
725,MT-ND4
726,L3MBTL3
727,RNU1-120P
728,RN7SKP227
729,AL590705.1
730,LINC01317
731,FAM229B
732,SPIN3
733,GPANK1
734,AC105052.1
735,NT5M
736,AP001043.1
737,CDPF1
738,BX890604.1
739,CYP2D7
740,NYNRIN
741,DNAJC19
742,ZCWPW2
743,RNVU1-18
744,RNU6-36P
745,MT-TI
746,NPM1P46
747,MLLT11
748,EEF1A1P16
749,HIST2H3DP1
750,HNRNPA3P6
751,RANP6
752,AC022210.1
753,DNAJC9
754,NCKIPSD
755,RPL21P75
756,AC044787.1
757,RPL3P6
758,AC112187.1
759,ALG3
760,C17orf67
761,MBLAC1
762,CYCSP55
763,DCDC2C
764,AC011825.1
765,EEF1A1P29
766,UBXN2B
767,GUSBP9
768,AL592295.1
769,GLRX3P2
770,NOC2LP2
771,AC006971.1
772,XKR9
773,LINC01465
774,AC011997.1
775,
776,AL360093.1
777,PTPN2P2
778,C4B
779,AL591686.1
780,IMPDH1P8
781,OPA1-AS1
782,AL160162.1
783,LINC00863
784,UBE2D3P1
785,PSME2P2
786,GOLGA2P7
787,NPM1P39
788,TMEM246-AS1
789,LINC02476
790,LINC01389
791,ODF2-AS1
792,PPIAP66
793,NUP50-AS1
794,LINC01709
795,C6orf47-AS1
796,WASH7P
797,AL928970.1
798,STEAP2-AS1
799,AC016596.1
800,AL365277.1
801,LINC01515
802,MT-ATP8
803,AL021707.2
804,AL929236.1
