,upgenes
868,DMAC1
869,POLR1E
870,FOXP4
871,LRRC1
872,BPHL
873,HMGA1
874,TCF19
875,FLOT1
876,MDC 1.00
877,GGH
878,BUD13
879,PPP2R1B
880,NUSAP1
881,NDUFAF1
882,KNL1
883,TUBGCP4
884,ARHGAP29
885,RPL7P9
886,SELENOI
887,ADCY3
888,PNPT1
889,DYNC2LI1
890,THUMPD2
891,PREB
892,DTNB
893,LOXL4
894,STAMBPL1
895,CH25H
896,KIF20B
897,ENTPD1
898,EXOC6
899,FAM149B1
900,ZNF365
901,RPS24
902,MDH1B
903,OLA1
904,SSFA2
905,ZGRF1
906,HNRNPD
907,FGF5
908,FGF2
909,PDE5A
910,FRAS1
911,CNOT6L
912,SHROOM3
913,PPA2
914,CENPE
915,LEF1
916,PPP3CA
917,FBN2
918,RGS3
919,B4GALNT3
920,ZCRB1
921,KLRG1
922,PHLDA1
923,POC1B
924,SNRPF
925,GAS2L3
926,GIT2
927,BRCA2
928,HNRNPA1L2
929,DIAPH3
930,RBM26
931,FRMD6
932,TCF12
933,SORD
934,SLC27A2
935,BAHD1
936,TLE3
937,COMMD4
938,PSTPIP1
939,TLNRD1
940,PIF1
941,FANCI
942,SLC5A2
943,TGFB1I1
944,CPNE2
945,KIFC3
946,GCSH
947,OSGIN1
948,GFOD2
949,C17orf80
950,OSBPL1A
951,PELP1
952,SAT2
953,TP53
954,SLC16A3
955,CEP131
956,WDR45B
957,P3H4
958,NT5C3B
959,TXNL4A
960,BRD4
961,NFIC
962,TPGS1
963,SCYL1
964,DOPEY2
965,URB1
966,SAE1
967,CBLC
968,WTIP
969,CAPN10
970,ZNF787
971,EVI5L
972,RERE
973,EPHA2
974,EFHD2
975,C1orf216
976,BCL10
977,TINAGL1
978,AZIN2
979,NME7
980,ILDR2
981,MRPL24
982,RGS16
983,PRUNE1
984,ADAMTSL4
985,MINDY1
986,MRPL9
987,TAF1A
988,SMYD2
989,UBAP2L
990,KCNN3
991,C1orf131
992,TTC13
993,SCCPDH
994,LBR
995,PLEKHA6
996,CAMKMT
997,EML4
998,CHAC2
999,WDPCP
1000,SNRPG
1001,TPRKB
1002,TMEM177
1003,PKP4
1004,CDCA7
1005,CCDC150
1006,SUMF1
1007,DIS3L2
1008,TAMM41
1009,VGLL4
1010,CTDSP1
1011,GMPPA
1012,STAC
1013,IQSEC1
1014,CAND2
1015,RPL32
1016,PTPRG
1017,COL8A1
1018,MYH15
1019,ABHD10
1020,TRPC1
1021,TMEM44
1022,DCAF1
1023,STXBP5L
1024,SLIT2
1025,DGKQ
1026,TRMT10A
1027,SPATA5
1028,CYP4V2
1029,ANKRD31
1030,SLC30A5
1031,ARHGAP26
1032,C1QTNF2
1033,G3BP1
1034,TBC1D7
1035,GFOD1
1036,DAAM2
1037,PRIM2
1038,MMS22L
1039,FAXC
1040,MTFR2
1041,TIAM2
1042,TMEM181
1043,VWDE
1044,C7orf50
1045,C7orf26
1046,NIPSNAP2
1047,ZNF92
1048,C7orf43
1049,SLC12A9
1050,TMEM209
1051,NCAPG2
1052,SPIN2A
1053,TAF1
1054,PRPS1
1055,DOCK11
1056,MCPH1
1057,MFHAS1
1058,NSDHL
1059,DOCK5
1060,RPL7
1061,SLC26A7
1062,SYBU
1063,EBAG9
1064,POLR2K
1065,UTP23
1066,SLC39A4
1067,NFIB
1068,CBWD5
1069,MFSD14B
1070,ZNF462
1071,NR6A1
1072,POLE3
1073,SURF2
1074,MED22
1075,ASB6
1076,PTGES2
1077,NTMT1
1078,SH3GLB2
1079,PTGES
1080,PAXX
1081,PROSER2
1082,FAM171A1
1083,MINDY3
1084,ZEB1
1085,FAM13C
1086,HERC4
1087,HTR7
1088,RPP30
1089,TCF7L2
1090,MKI67
1091,FUOM
1092,BTBD10
1093,ZNF215
1094,APIP
1095,ARFGAP2
1096,TENM4
1097,INTS4
1098,NCAM1
1099,ATM
1100,GLB1L2
1101,SLX4IP
1102,CPSF7
1103,CCDC15
1104,KIRREL3
1105,MPZL2
1106,CDC42EP2
1107,CTF1
1108,DCUN1D2
1109,EEF1AKMT1
1110,KIAA1328
1111,VEGFC
1112,CCDC83
1113,FAM173B
1114,DLAT
1115,NKAPD1
1116,CRIM1
1117,RILPL2
1118,DHX37
1119,ITPR1
1120,NGLY1
1121,C12orf45
1122,BTBD11
1123,PLBD2
1124,SLC2A13
1125,GXYLT1
1126,DIP2C
1127,EIF4E
1128,MAGI1
1129,MIPOL1
1130,SCLT1
1131,PTPRO
1132,NCAPD3
1133,ASAP2
1134,FLI1
1135,WWC2
1136,CENPU
1137,BICD1
1138,GABRA2
1139,PABPC3
1140,FBXO4
1141,BAG3
1142,AP1S3
1143,HAUS1
1144,ATG10
1145,FAM151B
1146,XRCC4
1147,SUV39H2
1148,DCLRE1C
1149,SPARCL1
1150,SLC30A6
1151,PANK1
1152,ADGRA3
1153,ANAPC1
1154,SCOC
1155,FAM49B
1156,LPCAT1
1157,NMRAL1
1158,UBALD1
1159,CMTM7
1160,FBXL2
1161,RPIA
1162,TMPRSS11D
1163,FBXO36
1164,DDAH1
1165,HS2ST1
1166,C16orf74
1167,ANKH
1168,PITPNC1
1169,CC2D1B
1170,LRRK1
1171,CEP112
1172,NEIL2
1173,LONRF1
1174,CCDC173
1175,FAM69A
1176,CNTNAP3B
1177,CEP170P1
1178,ATP5PF
1179,XPC
1180,PLCL2
1181,SKA1
1182,DKK 2.00
1183,OTUD6B
1184,GTF3C6
1185,NUP205
1186,C9orf85
1187,SPAG17
1188,FMN2
1189,PPARGC1B
1190,RASA2
1191,VBP1
1192,PSD3
1193,CARNMT1
1194,GNAQ
1195,DCK
1196,ADAMTS3
1197,ALX3
1198,NDUFAF6
1199,N6AMT1
1200,USP16
1201,SCAF4
1202,PCGF6
1203,ANKRD9
1204,SFXN2
1205,ATP5MPL
1206,MTERF3
1207,ZDHHC5
1208,UNC5D
1209,GLYATL2
1210,ATAD2
1211,ZNF689
1212,FCHO2
1213,RBPMS
1214,NRG1
1215,PAXIP1
1216,SSBP3
1217,AASDH
1218,RNF111
1219,CCNB2
1220,FAM81A
1221,C2CD2
1222,C9orf43
1223,PALM2-AKAP2
1224,ZNF618
1225,RAB28
1226,FAM213B
1227,PANK4
1228,SKI
1229,AGAP1
1230,UBXN11
1231,GALNT14
1232,FANCC
1233,ESYT3
1234,CUL4B
1235,ZC3H18
1236,GDPD5
1237,EMSY
1238,ZSCAN12
1239,SLC45A3
1240,RNF166
1241,ZNF276
1242,TOMM40L
1243,C21orf59
1244,MRPL10
1245,STC1
1246,RUNX1
1247,CHAF1B
1248,PTMS
1249,CTBP1
1250,RGS12
1251,ZYX
1252,CCDC117
1253,ATAD3B
1254,UBE2J2
1255,CCDC58
1256,HSF2BP
1257,FAM207A
1258,SPATC1L
1259,RDH13
1260,PCSK7
1261,S100A1
1262,UBE2Q1
1263,FDPS
1264,GBAP1
1265,FGFR4
1266,LY6E
1267,TONSL
1268,MAML1
1269,TMEM143
1270,ALDH16A1
1271,RAVER1
1272,SPC24
1273,MED11
1274,SENP3
1275,POLR3K
1276,JMJD8
1277,CCNF
1278,FLYWCH2
1279,TPCN2
1280,COA7
1281,SELENON
1282,TMCO4
1283,USP1
1284,SNX7
1285,HFM1
1286,ZNF281
1287,SNED1
1288,NBPF20
1289,B3GALNT2
1290,NUP35
1291,CCDC138
1292,C2orf48
1293,SLC16A14
1294,NOSTRIN
1295,MSX1
1296,IWS1
1297,BOLA3
1298,TDRD10
1299,NAXE
1300,EIF4E3
1301,LRRC58
1302,TMEM183A
1303,IGFBP7
1304,CCDC141
1305,CIP2A
1306,EOMES
1307,TGFBR2
1308,RPL22L1
1309,COX18
1310,C3orf49
1311,PRICKLE2
1312,RPL9
1313,PCOLCE2
1314,TOPBP1
1315,SLC4A1AP
1316,KIF15
1317,SMIM12
1318,LIPH
1319,RFT1
1320,GNL3
1321,UVSSA
1322,SLBP
1323,MELTF
1324,METAP1
1325,DNAJB14
1326,SPRY1
1327,ABHD18
1328,MON1A
1329,POC1A
1330,PPM1M
1331,C4orf45
1332,FAM198B
1333,NAA15
1334,ARFIP1
1335,ABCE1
1336,PRMT9
1337,ITGA2
1338,TMEM161B
1339,RNF180
1340,SLC25A46
1341,CCDC112
1342,C5orf63
1343,PRRC1
1344,GRPEL2
1345,CFAP97
1346,LEAP2
1347,CGAS
1348,KCNK5
1349,KIF6
1350,KIAA1324L
1351,INTS4P1
1352,LMTK2
1353,PEX2
1354,RAD21
1355,ORC5
1356,OXR1
1357,TMEM74
1358,GPER1
1359,INTS1
1360,SLC4A2
1361,TMUB1
1362,FOXK1
1363,CTHRC1
1364,SLC25A32
1365,INTS8
1366,TMEM67
1367,MYORG
1368,PSIP1
1369,CPA6
1370,KIF27
1371,SVEP1
1372,KIAA1958
1373,PIGO
1374,MELK
1375,SLC16A9
1376,LRR1
1377,DNAAF2
1378,KLHDC2
1379,KBTBD6
1380,TAF3
1381,ABRAXAS2
1382,FAM204A
1383,STK32C
1384,CPSF2
1385,PTER
1386,SMCO4
1387,R3HCC1L
1388,SPRED1
1389,IKBIP
1390,FBN1
1391,TRMT61A
1392,API5
1393,ARIH1
1394,C11orf65
1395,TAF10
1396,CYB5A
1397,TUB
1398,PRTG
1399,ATMIN
1400,TMX3
1401,HDGFL3
1402,MCM7
1403,CCDC68
1404,ATF7IP2
1405,ZNF592
1406,C16orf45
