,dwgenes
565,NYAP2
566,GRIP2
567,TMF1
568,ABHD10
569,SRPRB
570,LYAR
571,OCIAD2
572,SCD5
573,ANK2
574,CDH18
575,NHP2
576,TNFRSF21
577,FAXC
578,PM20D2
579,C7orf26
580,MDH2
581,PSPH
582,TMEM209
583,EPHA1
584,NCAPG2
585,SLC16A2
586,EBP
587,MFHAS1
588,CSGALNACT1
589,LACTB2
590,POLR2K
591,MAL2
592,NDUFB9
593,SLC39A4
594,SIGMAR1
595,POLE3
596,SURF2
597,PTGES2
598,SEC16A
599,POLR3A
600,DNAJB12
601,MKI67
602,LRRC4C
603,SSRP1
604,SERPINH1
605,GLB1L2
606,P4HA3
607,ST14
608,HYOU1
609,INCENP
610,EI24
611,MPZL2
612,COMMD7
613,SOGA1
614,TM7SF2
615,ALDOA
616,WDR17
617,PIH1D2
618,SEC24D
619,RILPL2
620,BTBD11
621,EIF4E
622,ADAM8
623,KIN
624,CENPU
625,PABPC3
626,BAG3
627,AP1S3
628,SPC25
629,RPP38
630,PART1
631,MED21
632,SCOC
633,FAM69A
634,ATP5MC3
635,MRPL39
636,ATP5PF
637,OTUD6B
638,GTF3C6
639,DBI
640,LARP1
641,DCK
642,ADAMTS3
643,SCAF4
644,LRFN2
645,MAPK13
646,FZD1
647,DHRS4
648,CCNB2
649,FAM213B
650,PANK4
651,GRHL3
652,NLRP14
653,AUTS2
654,CDC25C
655,CNOT11
656,TSR2
657,ZC3H18
658,CCAR2
659,MIS18A
660,SYNJ1
661,SON
662,LAD1
663,STC1
664,CSRP1
665,ATP5MC1
666,HK2
667,ZYX
668,CALM3
669,ATAD3B
670,FNDC5
671,CCDC58
672,WDR4
673,SPATC1L
674,FLAD1
675,FDPS
676,FAM189B
677,SLC25A44
678,LY6E
679,TONSL
680,RECQL4
681,MAML1
682,YDJC
683,RAVER1
684,SPC24
685,SNRNP25
686,CCNF
687,PAQR4
688,NXF1
689,SYVN1
690,LRP5
691,NOL9
692,AK4
693,CAMK2N1
694,MT2P1
695,VSNL1
696,NOSTRIN
697,IWS1
698,BOLA3
699,ALPP
700,INAVA
701,CCT3
702,RPL22L1
703,CDS1
704,COX18
705,PTPN13
706,RBM47
707,CDCP1
708,RFC4
709,PIGX
710,H2AFZ
711,CDC25A
712,SPRY1
713,MST1R
714,WDR82
715,HMGB2
716,MAD2L1
717,C4orf45
718,ITGA2
719,MOCS2
720,UQCRQ
721,CGAS
722,FABP5
723,TNFRSF11B
724,TMUB1
725,FOXK1
726,MYORG
727,SYK
728,SVEP1
729,MID1IP1
730,STRBP
731,ZNF367
732,NOL6
733,NSD1
734,PRDX3
735,PMPCA
736,HPRT1
737,E2F7
738,PSMC3
739,RPUSD2
740,DEPDC4
741,PCBD1
742,MCM7
743,FAM96A
744,ANPEP
745,PLK1
746,TAC3
747,MRPL16
748,YWHAB
749,SCG5
750,AKTIP
751,PDIA3
752,SLC27A4
753,TRIM68
754,TPM4
755,TUBA1A
756,SEMA6B
757,MFSD3
758,KRT80
759,SPRYD3
760,NDUFV1
761,EVPL
762,SLC3A2
763,PBK
764,DDIT4
765,NKIRAS2
766,DTYMK
767,MLKL
768,RFWD3
769,STIP1
770,HR
771,CAVIN2
772,SERINC2
773,FAM84B
774,CHTF8
775,COMMD8
776,Z99496.1
777,LMAN2
778,SH3TC2
779,DFFB
780,CKAP2L
781,BUB1
782,FASN
783,DUS1L
784,WNT10B
785,SYAP1
786,MYO7B
787,TMEM154
788,HNRNPA3
789,CDK1
790,B3GNT2
791,SLC30A1
792,ADORA2B
793,KRT86
794,HARS
795,KRT6C
796,SGCD
797,FOXN2
798,GPR27
799,LSM 3.00
800,SOX7
801,ATP6V0E2
802,C1GALT1C1
803,NETO2
804,ZNF440
805,PGAM1
806,CHD7
807,ESCO2
808,APLN
809,MRPL36
810,LRRC8D
811,PPID
812,TBCA
813,DSCAM
814,SLFNL1
815,RHNO1
816,RRM2
817,PPIH
818,THOP1
819,MOB3A
820,CYCS
821,SLFN12
822,MALT1
823,NEGR1
824,DPAGT1
825,BSG
826,CLEC12A
827,ALG14
828,AFF1
829,PPP1CA
830,HCFC1
831,CFL1
832,RAB37
833,SNX32
834,MYEOV
835,NOC3L
836,VANGL1
837,SYT12
838,DAG1
839,PPP1R14B
840,SLC19A1
841,XXYLT1
842,FBXO45
843,PRPF8
844,EXO1
845,ATP2A2
846,ZWILCH
847,CNTNAP2
848,GOLT1A
849,YIF1A
850,C3orf33
851,UBE2C
852,CSRP2
853,CCNE2
854,ZNF519
855,BANF1
856,EIF1AD
857,ARL 10.00
858,SART1
859,FOSL1
860,CCDC85B
861,TMEM70
862,TOM1L2
863,KDF1
864,SFN
865,CREG2
866,CRYBG2
867,LMNB2
868,TOP3A
869,CSTF2T
870,PGBD5
871,GBA
872,POLR2L
873,CHID1
874,BEND3
875,GLDC
876,MAF
877,DYNAP
878,THBD
879,ZHX2
880,PFAS
881,ZBTB7A
882,TUFM
883,SELENOW
884,EIF3K
885,AURKB
886,TRIML2
887,RCC2
888,FARSA
889,MAGED1
890,CDH4
891,RAD23A
892,B3GNT3
893,NRXN1
894,TIGD2
895,TPRXL
896,RNF182
897,CXCR2
898,MRPL14
899,HIST3H2BA
900,POLR2A
901,DLSTP1
902,FANCB
903,GPR3
904,LSM 10.00
905,SLC35C1
906,SNRPE
907,RTKN2
908,OR52A1
909,CREB3L2
910,GABRG3
911,PLCXD1
912,NXPH4
913,CAPN12
914,KPNA2
915,CEP97
916,ANXA2
917,C1orf116
918,RRP7BP
919,NAA38
920,BEGAIN
921,RABIF
922,RUVBL2
923,LINC01547
924,OR7E38P
925,EP400
926,ALYREF
927,UPP1
928,IQGAP3
929,DNAH2
930,ACTG1
931,UQCR10
932,BRD7P2
933,TMEM255B
934,UBE2G2
935,OSBP2
936,SUMO3
937,WT1
938,NOC4L
939,SEMA4B
940,EFCAB10
941,HIST1H2BL
942,TEDC1
943,NR2F2
944,UBE2L3
945,BCAP31
946,AC012085.1
947,BCL9L
948,KIF18B
949,TMEM212
950,NKRF
951,NF2
952,KIF24
953,TRABD2A
954,ANGPTL5
955,PLEKHG7
956,PTMA
957,PERM1
958,SPRY4
959,FANCA
960,FANCM
961,DMBT1
962,PRKAR1B
963,LCTL
964,S100A16
965,PARVB
966,NOC2L
967,SBSN
968,FAM111B
969,SF3B3
970,JPT1
971,S100A14
972,STK40
973,CPNE4
974,TRRAP
975,ARMCX4
976,GDAP2
977,FAM72A
978,MKL1
979,POTEF
980,TRAPPC4
981,S100A2
982,SNHG17
983,POTEI
984,HIST3H2BB
985,GMFB
986,ABCB8
987,SULT1A2
988,COL13A1
989,SERPINB2
990,SERPINB13
991,S100A10
992,CHSY3
993,TOR4A
994,HMGN5
995,SVIP
996,FLVCR1-AS1
997,CTNND1
998,MT-CO2
999,MTCO3P12
1000,EGFL6
1001,SYCP1
1002,MT-ND5
1003,TMEM184B
1004,ARHGAP11A
1005,HMGN2
1006,MTND4LP30
1007,MT-ND4
1008,MT-ATP6
1009,TOP 1.00
1010,MAGEE1
1011,MT-CO3
1012,MFAP3L
1013,KIF1BP
1014,TGM2
1015,VTRNA1-3
1016,TDRKH-AS1
1017,CENPW
1018,HIST2H2BF
1019,DAXX
1020,C9orf129
1021,HSPA1B
1022,LSM 2.00
1023,VARS
1024,PRRC2A
1025,MICB
1026,PRR3
1027,MS4A13
1028,C4orf46
1029,TMEM170B
1030,CFI
1031,KRT6A
1032,CNEP1R1
1033,KRT81
1034,TMSB4X
1035,HMGN1
1036,DPF3
1037,RNPS1
1038,RPS26P3
1039,EEF1B2P6
1040,NPM1P50
1041,HSPD1P1
1042,VDAC1
1043,RPL17P50
1044,ACTBP2
1045,EMP2
1046,YBX1P10
1047,DNASE1
1048,NUDT19
1049,PTMAP5
1050,IFRD2
1051,RPL21P1
1052,MTCP1
1053,RPL21P2
1054,TTC3P1
1055,BCRP3
1056,FAM72D
1057,GAPDHP72
1058,AL109918.1
1059,MIF-AS1
1060,TIGD1
1061,AC112721.2
1062,POTEJ
1063,TNRC18P2
1064,CKMT1A
1065,AC092681.1
1066,LINC02561
1067,LINC01133
1068,MDC1-AS1
1069,LAMC1-AS1
1070,AP001439.1
1071,AC015987.1
1072,COL4A2-AS2
1073,RPL23AP2
1074,SFTA1P
1075,AC069282.1
1076,MTOR-AS1
1077,PROSER2-AS1
1078,AC004540.2
1079,RUSC1-AS1
1080,NOL7
1081,AC113935.1
1082,UQCRFS1P1
1083,AC009961.1
1084,TPI1P1
1085,TMEM185B
1086,SCDP1
1087,AC099066.2
1088,RPL7P6
1089,ISCA1P6
1090,AL358075.2
1091,AL365277.1
1092,AL031283.1
1093,MT-ATP8
1094,SNHG26
1095,AL450992.1
1096,LINC00382
1097,AL391839.1
1098,MTCO2P12
1099,RPL4P4
1100,YWHAZP3
1101,C9orf147
1102,AC009245.1
1103,AC078960.1
1104,THAP7-AS1
1105,RPL7P32
1106,AL365440.1
1107,AP002856.2
1108,LINC01819
1109,IPO9-AS1
1110,AC112907.2
1111,ANXA2P2
1112,TMA7
1113,MCTS1
1114,AC093627.1
1115,AL390728.5
1116,AC006329.1
1117,LINC01549
1118,IDI2-AS1
1119,AC002524.1
1120,PFN1P1
1121,Z83844.2
1122,AK4P3
1123,EIF3FP3
1124,AL445524.1
1125,LINC00460
1126,DCUN1D2-AS
1127,HIST1H2BN
1128,AC005083.1
1129,UQCRHL
1130,ETV5-AS1
1131,AC012146.1
1132,JAZF1-AS1
1133,MCIDAS
1134,HMGN2P5
1135,ELF3-AS1
1136,SDCBP2-AS1
1137,XRCC6P2
1138,RPL23AP42
1139,TECRP1
1140,HGH1
1141,AC137630.2
1142,DBF4P1
1143,AC005822.1
1144,AC073333.1
1145,AL020995.1
1146,AL358115.1
1147,AC010894.3
1148,BCYRN1
1149,FABP5P1
1150,BMS1P10
1151,CKMT1B
1152,KIFC1
1153,AL109615.3
1154,LINC00707
1155,AC008026.1
1156,SEC62-AS1
1157,AC079944.1
1158,RPL36AP21
1159,RPL15P2
1160,AC093019.2
1161,PRICKLE2-AS1
1162,UBQLN4P1
1163,ARPC1A
1164,RPSAP52
1165,AL365356.5
1166,AC115223.1
1167,FLNB-AS1
1168,ETV5
1169,BX679664.3
1170,AC087521.2
1171,PRR7-AS1
1172,PGAM5
1173,TWF2
1174,MTND4P12
1175,AC006064.2
1176,LINC00290
1177,SUMO2P17
1178,LINC02056
1179,LINC02267
1180,AC022784.1
1181,LINC01331
1182,SMIM31
1183,AC105001.1
1184,BCLAF1P1
1185,AC093817.1
1186,AC016598.1
1187,AC092647.5
1188,VCAN-AS1
1189,AC093725.2
1190,CHCHD10
1191,RNPS1P1
1192,AC026704.1
1193,AC100801.1
1194,
1195,AC132219.1
1196,TRNP1
1197,AC104561.1
1198,GRPEL2-AS1
1199,PRKDC
1200,AC068075.1
1201,AC226119.1
1202,CLDN23
1203,AC100810.1
1204,AP001208.2
1205,AC113191.1
1206,AF201337.1
1207,AP003501.1
1208,MPV17L2
1209,AP001267.1
1210,DPP3
1211,
1212,AC084125.2
