,upgenes
670,GTDC1
671,FMO5
672,ZNF713
673,SYNPO
674,COL9A2
675,NLGN3
676,TYMP
677,ANGPTL1
678,MAP2K6
679,MST1
680,PDPN
681,ADC
682,CCPG1
683,DCN
684,MAOA
685,RNF208
686,SYNGR1
687,HNMT
688,MAN2B1
689,GJA1
690,C5orf56
691,SLC22A18
692,CIITA
693,GRIA1
694,NCOA7
695,ODF3B
696,MAP2K5
697,TCF7L2
698,APOBEC3G
699,BNIP3L
700,PLCL1
701,LPHN1
702,FOXN3
703,SEZ6L2
704,PLSCR4
705,CREG1
706,DNASE2
707,EPHX2
708,RGL4
709,KIAA1107
710,PGPEP1
711,RECK
712,TTLL3
713,TMEM159
714,SQSTM1
715,AHCYL2
716,LOC253039
717,FANK1
718,BDNF-AS1
719,PYROXD2
720,NBPF3
721,CCR10
722,GXYLT2
723,GUSBP11
724,NBEA
725,ANKRD10
726,CCT6B
727,MEGF8
728,FAM49A
729,GRN
730,BDH2
731,ZBTB44
732,KIAA1009
733,BCAS3
734,CPAMD8
735,IL6R
736,CSAD
737,OAS2
738,CDC14B
739,SPTLC3
740,RAB9A
741,ABTB1
742,ZNF581
743,CTSF
744,DFNB59
745,PGAM2
746,ART5
747,ITGBL1
748,LY6E
749,KCNS2
750,BAZ2B
751,GSTM3
752,TNKS1BP1
753,SNX33
754,DIRC1
755,MKNK2
756,FBXL20
757,PCOLCE2
758,MTSS1L
759,SEMA4G
760,PIWIL4
761,LYST
762,IL20RA
763,IFI35
764,C19orf66
765,DOCK11
766,GOLGB1
767,PCDHGA5
768,SMARCA2
769,DNAJC4
770,C11orf54
771,NUMBL
772,IRF7
773,TMEM198
774,LOC100129534
775,USP44
776,HIST2H2BE
777,PCDHGA10
778,GYG2
779,TFDP2
780,PLEKHO2
781,SARDH
782,CHURC1
783,PRTG
784,EFCAB6
785,RALGPS1
786,KLHDC1
787,RAB11FIP2
788,ALS2CR8
789,DNM1P46
790,TCEA2
791,LOC646471
792,MMP2
793,MNT
794,MLLT3
795,HS1BP3
796,BTBD19
797,CD81
798,ARSA
799,FER1L4
800,TCTN1
801,MFAP2
802,LZTFL1
803,EFNB1
804,PCDHB16
805,KIT
806,HEXDC
807,KIAA1407
808,PODN
809,BEND6
810,WWTR1
811,BMP1
812,CXorf23
813,CLUL1
814,MBD5
815,EVC2
816,BAI3
817,SCNN1D
818,KLF8
819,MAST4
820,SQRDL
821,LOC338799
822,LOC100131089
823,PHYHD1
824,GALNTL2
825,ALDH6A1
826,CMYA5
827,ARID5A
828,ADAMTSL4
829,SORCS2
830,PARP16
831,KIF27
832,PCNXL2
833,SH3BGRL
834,TBC1D17
835,AGXT2L2
836,PCDHGA6
837,PDE1A
838,KDM5B
839,LOC100132707
840,SWT1
841,SLC46A3
842,C7orf31
843,CCNG1
844,MATL2963
845,AKAP12
846,KIAA1199
847,WDFY3-AS2
848,COL5A3
849,IRF1
850,PCDHB9
851,GRAMD4
852,COL12A1
853,CYB5D2
854,ZFP36L2
855,SAMD14
856,SVIL
857,TMEM8B
858,AHSA2
859,PDE4DIP
860,SH3BP5
861,JAKMIP3
862,PCYOX1
863,PION
864,DNAJC18
865,NEURL2
866,NOVA1
867,TTC3
868,CBLB
869,EHBP1
870,LOC100506013
871,ARMCX3
872,GSTA4
873,NID2
874,OSCAR
875,SPATA7
876,CACNA1G
877,DHRS12
878,SLC2A10
879,ZNF345
880,WISP1
881,LOC100287846
882,HIBADH
883,ITPKC
884,CLK1
885,SPATA25
886,PARP10
887,C16orf45
888,PCDHGB3
889,NCOA1
890,GNS
891,FLJ13197
892,ARL15
893,SGSM2
894,CPM
895,L3MBTL1
896,STAC
897,MMP19
898,ATG14
899,PCDH18
900,C21orf88
901,SLC35E2B
902,KIAA1109
903,IFT80
904,RNASEL
905,SGK2
906,CLK4
907,GAB1
908,FAM102A
909,MR1
910,SAP30L
911,ADM
912,GRIK2
913,IDH1
914,GPT
915,CYP2B7P1
916,ERAP1
917,TNK1
918,GGT7
919,PROX2
920,VGLL3
921,CDC42EP2
922,FBXO6
923,ZNF221
924,LOC100131564
925,FAM13A
926,FLJ23867
927,STARD5
928,KATNAL2
929,PDE8B
930,PPIEL
931,FGF11
932,ITGAV
933,TSC22D1
934,ZNF154
935,PRSS27
936,OVGP1
937,OFD1
938,C8orf31
939,CD72
940,KIAA0895
941,MBTD1
942,KSR1
943,8-Mar
944,CD82
945,HEXA
946,PRCP
947,ZC3H12B
948,ZNF214
949,DNHD1
950,TRPS1
951,MEIS1
952,ZNF233
953,C14orf28
954,PID1
955,GLT8D2
956,KLC4
957,TMTC2
958,SFTPD
959,GDF5
960,PGAP3
961,DDIT3
962,TTYH2
963,WDSUB1
964,CHAD
965,GIPR
966,IL2RB
967,SPIN3
968,WNT5A
969,DDR2
970,SIX5
971,ST6GALNAC6
972,LXN
973,NBR2
974,WBP2
975,PLD2
976,RABGAP1
977,WDR31
978,CACNA1D
979,MX1
980,POU6F1
981,ZNF350
982,SLC2A11
983,ZNF497
984,PPM1M
985,TMTC1
986,SNX18
987,RRAGB
988,GDPD1
989,ITM2B
990,TG
991,CAMLG
992,FBXO41
993,IRF9
994,TPTE2P1
995,ZNF540
996,FOXF2
997,ZNF404
998,TBC1D2B
999,ATP9A
1000,FAM86HP
1001,PKIG
1002,MOB3C
1003,LGALS9
1004,PNMA2
1005,RGS22
1006,CACNA2D4
1007,SEMA4D
1008,C10orf11
1009,CROCC
1010,LGALSL
1011,SAT2
1012,CHD6
1013,ZNF235
1014,ATXN7L1
1015,C6orf192
1016,ARAP1
1017,MYO15A
1018,ANKRD65
1019,PLSCR1
1020,PTCH1
1021,AVIL
1022,KIAA1147
1023,ZNF846
1024,NFIX
1025,C1orf213
1026,LOC100507501
1027,BBS12
1028,NAALADL1
1029,ARHGAP12
1030,LOC653513
1031,NINL
1032,SLC4A3
1033,GGT1
1034,ZNF425
1035,ABCA2
1036,C14orf45
1037,ADCK4
1038,RILPL2
1039,ZNF181
1040,IMPA2
1041,MZF1
1042,PPARA
1043,VWA1
1044,NHLRC4
1045,FSIP2
1046,MANSC1
1047,PDK2
1048,AQP3
1049,TBX19
1050,FAM167B
1051,HHIPL2
1052,LOC678655
1053,OBSCN
1054,ZNF610
1055,INSR
1056,KIAA0825
1057,ULK2
1058,TNFRSF18
1059,TRPV1
1060,LOC100129034
1061,CALML6
1062,NEK11
1063,DRAM1
1064,RNF150
1065,ZNF224
1066,PCDHB15
1067,RTN2
1068,IRF2BPL
1069,SLC35E2
1070,TMEM80
1071,SLC2A5
1072,LOC642366
1073,LPCAT3
1074,ZMYM6NB
1075,DDX58
1076,KBTBD3
1077,SPTBN4
1078,GRIK1
1079,ULK1
1080,FNIP1
1081,C16orf86
1082,DNALI1
1083,FAM117A
1084,ZNF160
1085,LOC200772
1086,SFRP1
1087,TBCK
1088,SEMA4B
1089,TMEM100
1090,AKD1
1091,TNFAIP2
1092,BST2
1093,LAMB2
1094,PIM1
1095,IGF1R
1096,SIM1
1097,PMP22
1098,ATP8A1
1099,APLF
1100,TMEM135
1101,SLC45A1
1102,LOC100506472
1103,TMEM232
1104,FLJ39639
1105,BNC2
1106,C20orf132
1107,LOC100131691
1108,SERGEF
1109,SESN2
1110,NMI
1111,MIR635
1112,LOC100506686
1113,DPY19L4
1114,FLJ44511
1115,ZNF487P
1116,IFIT3
1117,RBP5
1118,LOC100272228
1119,SEMA4A
1120,POLI
1121,EFHC1
1122,PDE4A
1123,EPS8L2
1124,CHN1
1125,PATL2
1126,COL4A3BP
1127,GHR
1128,TTLL1
1129,RHPN1
1130,FUCA1
1131,ATXN3
1132,NTN4
1133,HYAL1
1134,BACH2
1135,ANKRD24
1136,LOC729603
1137,IDS
1138,ZMYM2
1139,TCEANC
1140,PDZRN3
1141,SELM
1142,SNX21
1143,ZFYVE1
1144,TEF
1145,KANSL1L
1146,ITIH4
1147,CCDC120
1148,ZBTB34
1149,KLHL3
1150,KIF6
1151,LETMD1
1152,RALGDS
1153,SUMF1
1154,OS9
1155,CRMP1
1156,SLC25A36
1157,LRRC48
1158,CEP68
1159,KIAA0513
1160,FAM171B
1161,C17orf48
1162,PSME1
1163,NAGLU
1164,HDAC11
1165,RNF103
1166,ZNF577
1167,ZNF395
1168,NEK8
1169,AK8
1170,TESK2
1171,DICER1-AS1
1172,DYNC2LI1
1173,SAV1
1174,AP1G2
1175,SYNGR2
1176,BCL3
1177,AGPAT4
1178,ALOX12
1179,TECTA
1180,FAM135A
1181,PTP4A3
1182,LOC440028
1183,ZNF790
1184,CERCAM
1185,C10orf140
1186,TSPAN31
1187,FAM110B
1188,STAT3
1189,SH3D19
1190,MFSD7
1191,NOTCH3
1192,PTPRG
1193,PCDHGA1
1194,ZKSCAN1
1195,EGR3
1196,TTC25
1197,SDHAP3
1198,FAM66C
1199,FAM179B
1200,STARD9
1201,DNMT3A
1202,CYP2A6
1203,FLJ33065
1204,KCNH2
1205,CASC2
1206,DNAJC28
1207,ZNF843
1208,P4HA1
1209,ELF2
1210,SNX29
1211,KCTD11
1212,SSBP2
1213,C1QL3
1214,LAMC1
1215,L3MBTL4
1216,TAS2R4
1217,ADCK3
1218,MID1
1219,CCDC106
1220,AKNAD1
1221,C1QTNF3
1222,SULT4A1
1223,HECA
1224,ALPK1
1225,LOC153684
1226,IQSEC2
1227,SOS1
1228,RHOU
1229,TNFRSF1A
1230,NLRC3
1231,HDAC4
1232,RARG
1233,SLC16A11
1234,HGSNAT
1235,IL34
1236,SBF2
1237,HHIPL1
1238,PACRG
1239,LCA5
1240,C2orf81
1241,TWIST2
1242,FCGR2A
1243,MST1P2
1244,FLCN
1245,PEX11A
1246,DCAF5
1247,ZSCAN23
1248,APC2
1249,STARD10
1250,IGSF3
1251,CBX3P2
1252,ZNF606
1253,C14orf93
1254,DLG3
1255,REEP6
1256,LIPT1
1257,PNPLA3
1258,ZNF763
1259,STX17
1260,DOCK1
1261,ZNF737
1262,ZNF483
1263,STAT1
1264,SLC38A6
1265,ZER1
1266,CLIP4
1267,LOC100289178
1268,LITAF
