,upgenes
617,KCTD21-AS1
618,GAPDHP61
619,LINC02102
620,AC126768.2
621,AC035140.1
622,LINC02362
623,AC068533.4
624,AL731577.2
625,AC008467.1
626,AC008840.1
627,AP002884.1
628,KLHL2P1
629,AC106865.1
630,AC010255.3
631,TRPC7-AS2
632,AC097478.1
633,AC025244.1
634,MALAT1
635,AC136475.1
636,LINC01605
637,AC084082.1
638,AC134043.1
639,LINC02159
640,AC091185.1
641,AC022639.1
642,AC027117.2
643,ZNF260
644,AC091534.1
645,AP001000.1
646,AP003068.2
647,AC127526.1
648,
649,AP002992.1
650,AL133352.1
651,AP002954.1
652,AL354813.1
653,AP003486.1
654,GOLGA2P10
655,AP000812.3
656,AC135586.2
657,MIR200CHG
658,AP001453.4
659,AC025165.2
660,AC079035.1
661,AC084033.3
662,LBX2-AS1
663,MGAM2
664,AC106788.1
665,MAP1LC3B2
666,AC016152.1
667,PPIAP6
668,LINC00239
669,NBEAP1
670,SYNJ2BP-COX16
671,LINC01269
672,AL358335.2
673,NF1P2
674,AL445363.1
675,AL136298.3
676,AL132780.3
677,EEF1A1P22
678,AC079328.2
679,ST20-AS1
680,AC106738.1
681,AL354993.2
682,AC092078.2
683,NORAD
684,LINC02562
685,AC137932.1
686,AP002761.4
687,AC110597.1
688,AL590004.4
689,AC025917.1
690,KIF18BP1
691,AC009053.3
692,AC119396.1
693,AC110597.3
694,ANXA8
695,AC114689.3
696,AC135178.3
697,TXNIP
698,AC004585.1
699,MRPS21
700,DSG1-AS1
701,LINC00663
702,AC027097.1
703,AC005746.2
704,AP001029.2
705,CIRBP-AS1
706,AC020916.1
707,ERVK-28
708,AC007785.1
709,GABRQ
710,AC008040.5
711,AC006262.1
712,IGFL2-AS1
713,IGFL1P1
714,AC012313.5
715,AC011452.1
716,AP001350.1
717,AL391422.3
718,LINC01235
719,NF1P1
720,AC016355.1
721,AC026412.3
722,ARMCX5-GPRASP2
723,AC002128.2
724,AC087783.2
725,AL671883.2
726,GTF2IP20
727,U62317.2
728,AL139393.2
729,LINC02035
730,AC092171.5
731,AL138963.3
732,AC006946.2
733,AC108673.3
734,AL121832.2
735,TBC1D3H
736,RF00003
737,AC242376.2
738,TBC1D3
739,AC244669.2
740,AC239860.1
741,AL161431.1
742,AC113385.3
743,TBC1D3F
744,
745,AC245041.2
746,AC211476.4
747,AC007325.2
748,ZNF630-AS1
749,
750,AC116050.2
751,GLIDR
752,AC103705.1
753,AC136352.4
754,
755,AL356289.3
756,AP001972.5
757,LINC01451
758,AP003108.3
759,AC012513.3
760,
761,AC132219.2
762,AL355390.2
763,
764,NF1P9
765,SAMD12-AS1
766,HERC2P7
767,AL353759.1
